"deaths_location","deaths_continent","month","population","people_vaccinated","new_cases","vaccinated_reinfection_rate","unvaccinated_reinfection_rate","reinfection_difference"
"Wales","Europe","2021-11-01 00:00:00+05:30","3170000","2476015",NULL,NULL,NULL,NULL
"Wales","Europe","2021-12-01 00:00:00+05:30","3170000","2477148",NULL,NULL,NULL,NULL
"Wales","Europe","2022-10-01 00:00:00+05:30","3170000","2589825",NULL,NULL,NULL,NULL
"Wales","Europe","2022-11-01 00:00:00+05:30","3170000","2589839",NULL,NULL,NULL,NULL
"Wales","Europe","2022-12-01 00:00:00+05:30","3170000","2589931",NULL,NULL,NULL,NULL
"Wallis and Futuna","Oceania","2021-12-01 00:00:00+05:30","11596","5749","0","0.00","0.00","0.00"
"Yemen","Asia","2021-11-01 00:00:00+05:30","33696612","319710","24","0.23","23.77","23.54"
"Zambia","Africa","2021-11-01 00:00:00+05:30","20017670","806611","21","0.85","20.15","19.31"
"Zimbabwe","Africa","2021-10-01 00:00:00+05:30","16320539","3938056","5189","423.62","1337.38","913.76"
"Zimbabwe","Africa","2021-11-01 00:00:00+05:30","16320539","3944813","6181","504.40","1587.27","1082.87"
"Zimbabwe","Africa","2021-12-01 00:00:00+05:30","16320539","3956872","3004","249.80","786.87","537.07"
