"deaths_location","deaths_continent","month","population","people_vaccinated","new_cases","vaccinated_reinfection_rate","unvaccinated_reinfection_rate","reinfection_difference"
"New Zealand","Oceania","2022-11-01 00:00:00+05:30","5185289","4299269","0","0.00","0.00","0.00"
"New Zealand","Oceania","2022-12-01 00:00:00+05:30","5185289","4299290","0","0.00","0.00","0.00"
"Nicaragua","North America","2021-10-01 00:00:00+05:30","6948395","4402422","0","0.00","0.00","0.00"
"Nicaragua","North America","2022-11-01 00:00:00+05:30","6948395","6114751","0","0.00","0.00","0.00"
"Niger","Africa","2021-10-01 00:00:00+05:30","26207982","429471","0","0.00","0.00","0.00"
"Niger","Africa","2022-11-01 00:00:00+05:30","26207982","6072321","0","0.00","0.00","0.00"
"Nigeria","Africa","2021-10-01 00:00:00+05:30","218541216","5776679","64","1.69","62.31","60.62"
"Nigeria","Africa","2021-11-01 00:00:00+05:30","218541216","5823013","65","1.73","63.27","61.54"
"Nigeria","Africa","2021-12-01 00:00:00+05:30","218541216","7894068","612","22.11","589.89","567.79"
"Nigeria","Africa","2022-11-01 00:00:00+05:30","218541216","72354408","0","0.00","0.00","0.00"
"North Macedonia","Europe","2021-10-01 00:00:00+05:30","2093606","795186","316","120.02","195.98","75.96"
"North Macedonia","Europe","2021-12-01 00:00:00+05:30","2093606","836816","308","123.11","184.89","61.78"
"North Macedonia","Europe","2022-11-01 00:00:00+05:30","2093606","854452","0","0.00","0.00","0.00"
"Northern Cyprus","Asia","2021-12-01 00:00:00+05:30","382836","277641",NULL,NULL,NULL,NULL
"Northern Ireland","Europe","2021-10-01 00:00:00+05:30","1896000","1384734",NULL,NULL,NULL,NULL
"Northern Ireland","Europe","2021-11-01 00:00:00+05:30","1896000","1385295",NULL,NULL,NULL,NULL
"Northern Ireland","Europe","2021-12-01 00:00:00+05:30","1896000","1386231",NULL,NULL,NULL,NULL
"Northern Ireland","Europe","2022-10-01 00:00:00+05:30","1896000","1429315",NULL,NULL,NULL,NULL
"Northern Ireland","Europe","2022-11-01 00:00:00+05:30","1896000","1429346",NULL,NULL,NULL,NULL
"Northern Ireland","Europe","2022-12-01 00:00:00+05:30","1896000","1429350",NULL,NULL,NULL,NULL
"Norway","Europe","2020-10-01 00:00:00+05:30","5434324","7","453","0.00","453.00","453.00"
"Norway","Europe","2020-11-01 00:00:00+05:30","5434324","11","435","0.00","435.00","435.00"
"Norway","Europe","2020-12-01 00:00:00+05:30","5434324","12","403","0.00","403.00","403.00"
"Norway","Europe","2021-10-01 00:00:00+05:30","5434324","4267998","5301","1903.96","526.71","-1377.25"
"Norway","Europe","2021-11-01 00:00:00+05:30","5434324","4268077","5184","1930.19","534.14","-1396.06"
"Norway","Europe","2021-12-01 00:00:00+05:30","5434324","4268112","3166","1448.07","403.60","-1044.47"
"Norway","Europe","2022-10-01 00:00:00+05:30","5434324","4346978","153","77.99","19.51","-58.48"
"Norway","Europe","2022-11-01 00:00:00+05:30","5434324","4346994","131","96.38","24.12","-72.26"
"Norway","Europe","2022-12-01 00:00:00+05:30","5434324","4346995","141","81.99","20.51","-61.47"
"Oman","Asia","2021-11-01 00:00:00+05:30","4576300","2959586","10","6.47","3.53","-2.93"
"Pakistan","Asia","2021-10-01 00:00:00+05:30","235824864","84243233","400","127.63","247.37","119.73"
"Pakistan","Asia","2021-11-01 00:00:00+05:30","235824864","77343569","767","195.68","464.82","269.14"
"Pakistan","Asia","2021-12-01 00:00:00+05:30","235824864","84783151","1004","209.63","469.04","259.42"
"Pakistan","Asia","2022-10-01 00:00:00+05:30","235824864","139566638","38","22.49","15.51","-6.98"
"Pakistan","Asia","2022-11-01 00:00:00+05:30","235824864","139443281","0","0.00","0.00","0.00"
"Pakistan","Asia","2022-12-01 00:00:00+05:30","235824864","139573757","41","12.13","8.37","-3.77"
"Palestine","Asia","2021-10-01 00:00:00+05:30","5250076","1876152","237","84.69","152.31","67.61"
"Panama","North America","2021-10-01 00:00:00+05:30","4408582","3004816","195","132.91","62.09","-70.82"
"Panama","North America","2021-12-01 00:00:00+05:30","4408582","3103139","0","0.00","0.00","0.00"
"Panama","North America","2022-11-01 00:00:00+05:30","4408582","3513104","0","0.00","0.00","0.00"
"Papua New Guinea","Oceania","2022-10-01 00:00:00+05:30","10142625","353277","3","0.10","2.90","2.79"
"Paraguay","South America","2021-10-01 00:00:00+05:30","6780745","3414571","73","36.76","36.24","-0.52"
"Paraguay","South America","2021-12-01 00:00:00+05:30","6780745","3180418","54","25.33","28.67","3.34"
"Paraguay","South America","2022-11-01 00:00:00+05:30","6780745","3971312","0","0.00","0.00","0.00"
"Peru","South America","2021-10-01 00:00:00+05:30","34049588","23641398","1814","655.39","382.28","-273.11"
"Peru","South America","2021-11-01 00:00:00+05:30","34049588","23780649","1224","588.97","340.70","-248.27"
"Peru","South America","2021-12-01 00:00:00+05:30","34049588","23886112","1356","691.09","398.58","-292.51"
"Peru","South America","2022-10-01 00:00:00+05:30","34049588","30183176","14456","4729.52","608.15","-4121.37"
"Peru","South America","2022-11-01 00:00:00+05:30","34049588","30184492","5536","2221.49","287.51","-1933.99"
"Peru","South America","2022-12-01 00:00:00+05:30","34049588","30188611","3738","1754.04","227.63","-1526.42"
"Philippines","Asia","2021-11-01 00:00:00+05:30","115559008","40517967","1974","692.14","1281.86","589.73"
"Philippines","Asia","2022-10-01 00:00:00+05:30","115559008","78102787","1267","856.33","410.67","-445.65"
"Poland","Europe","2021-10-01 00:00:00+05:30","39857144","21143897","24991","13257.53","11733.47","-1524.05"
"Poland","Europe","2021-11-01 00:00:00+05:30","39857144","21171467","23764","11200.28","10218.72","-981.56"
"Poland","Europe","2021-12-01 00:00:00+05:30","39857144","21177713","19452","6017.18","5494.49","-522.69"
"Poland","Europe","2022-10-01 00:00:00+05:30","39857144","22832629","492","251.94","188.06","-63.87"
"Poland","Europe","2022-11-01 00:00:00+05:30","39857144","22832951","3295","742.39","555.61","-186.78"
"Poland","Europe","2022-12-01 00:00:00+05:30","39857144","22833123","2362","504.47","377.53","-126.93"
