"deaths_location","week_start","avg_weekly_cases","avg_weekly_deaths"
"World","2020-01-06","6.71","0.14"
"China","2020-01-06","6.29","0.14"
"Upper middle income","2020-01-06","6.29","0.14"
"Asia","2020-01-06","6.29","0.14"
"China","2020-01-13","11.43","0.29"
"World","2020-01-13","13.14","0.29"
"Upper middle income","2020-01-13","12.71","0.29"
"Asia","2020-01-13","13.00","0.29"
"China","2020-01-20","265.71","7.57"
"Asia","2020-01-20","269.14","7.57"
"World","2020-01-20","271.71","7.57"
"Upper middle income","2020-01-20","267.00","7.57"
"High income","2020-01-27","11.14","0.14"
"China","2020-01-27","1775.14","43.57"
"United Kingdom","2020-01-27","0.14","0.14"
"Lower middle income","2020-01-27","2.86","0.14"
"Europe","2020-01-27","2.86","0.14"
"Upper middle income","2020-01-27","1779.14","43.57"
"Asia","2020-01-27","1788.43","43.71"
"Philippines","2020-01-27","0.14","0.14"
"World","2020-01-27","1793.14","43.86"
"Europe","2020-02-03","5.00","0.14"
"United Kingdom","2020-02-03","2.86","0.14"
"China","2020-02-03","3262.86","77.71"
"World","2020-02-03","3282.43","77.86"
"Asia","2020-02-03","3274.43","77.71"
"High income","2020-02-03","14.57","0.14"
"Upper middle income","2020-02-03","3265.86","77.71"
"China","2020-02-10","4476.14","123.14"
"Europe","2020-02-10","3.00","0.29"
"Upper middle income","2020-02-10","4478.71","123.14"
"European Union","2020-02-10","1.43","0.29"
"Asia","2020-02-10","4488.29","123.29"
"World","2020-02-10","4492.57","123.57"
"High income","2020-02-10","12.71","0.43"
"Japan","2020-02-10","3.86","0.14"
"Spain","2020-02-10","0.57","0.14"
"Europe","2020-02-17","12.57","0.43"
"South Korea","2020-02-17","75.14","0.43"
"World","2020-02-17","1323.57","98.57"
"High income","2020-02-17","107.14","0.86"
"Germany","2020-02-17","0.86","0.14"
"Lower middle income","2020-02-17","7.43","0.71"
"Iran","2020-02-17","6.71","0.71"
"European Union","2020-02-17","12.00","0.43"
"Asia","2020-02-17","1307.29","98.14"
"Italy","2020-02-17","10.86","0.29"
"Upper middle income","2020-02-17","1209.00","97.00"
"China","2020-02-17","1208.29","97.00"
"United Kingdom","2020-02-24","4.71","0.14"
"South Korea","2020-02-24","424.29","2.00"
"Japan","2020-02-24","15.29","0.71"
"Thailand","2020-02-24","2.40","0.14"
"Upper middle income","2020-02-24","425.57","61.14"
"Europe","2020-02-24","207.43","4.14"
"United States","2020-02-24","4.71","0.14"
"China","2020-02-24","418.00","61.00"
"World","2020-02-24","1179.86","73.57"
"Asia","2020-02-24","964.86","69.29"
"France","2020-02-24","12.57","0.14"
"Iran","2020-02-24","78.57","5.43"
"European Union","2020-02-24","192.71","4.00"
"Italy","2020-02-24","149.86","3.86"
"North America","2020-02-24","6.43","0.14"
"Lower middle income","2020-02-24","81.14","5.43"
"High income","2020-02-24","672.43","7.00"
"China","2020-03-02","127.29","32.57"
"Italy","2020-03-02","679.29","29.14"
"United Kingdom","2020-03-02","44.43","0.86"
"European Union","2020-03-02","1124.86","33.29"
"Europe","2020-03-02","1252.86","34.57"
"Iraq","2020-03-02","5.86","0.57"
"Germany","2020-03-02","119.14","1.57"
"San Marino","2020-03-02","3.86","0.14"
"Finland","2020-03-02","2.86","0.14"
"Oceania","2020-03-02","7.00","0.57"
"Spain","2020-03-02","110.86","1.00"
"Egypt","2020-03-02","6.86","0.14"
"Switzerland","2020-03-02","45.71","0.29"
"Netherlands","2020-03-02","18.43","0.14"
"Argentina","2020-03-02","3.14","0.14"
"Ireland","2020-03-02","2.43","0.14"
"France","2020-03-02","86.57","1.14"
"South Korea","2020-03-02","515.43","4.71"
"Peru","2020-03-02","1.29","0.14"
"Lower middle income","2020-03-02","878.86","22.43"
"South America","2020-03-02","9.71","0.29"
"Upper middle income","2020-03-02","166.14","33.43"
"Iran","2020-03-02","853.29","21.57"
"World","2020-03-02","2937.57","98.29"
"Asia","2020-03-02","1586.86","59.43"
"North America","2020-03-02","68.57","2.57"
"Australia","2020-03-02","6.43","0.57"
"High income","2020-03-02","1890.57","42.43"
"United States","2020-03-02","55.86","2.57"
"Africa","2020-03-02","12.43","0.86"
"Bulgaria","2020-03-09","5.57","0.29"
"Austria","2020-03-09","73.29","0.14"
"Germany","2020-03-09","795.14","10.00"
"France","2020-03-09","536.86","11.57"
"Netherlands","2020-03-09","115.00","1.29"
"Spain","2020-03-09","1097.14","33.57"
"Sweden","2020-03-09","116.43","0.43"
"Lower middle income","2020-03-09","1154.00","78.86"
"Greece","2020-03-09","23.14","0.43"
"South America","2020-03-09","48.86","1.57"
"North America","2020-03-09","551.43","7.57"
"Egypt","2020-03-09","8.71","0.14"
"High income","2020-03-09","7022.29","256.14"
"Argentina","2020-03-09","15.57","1.14"
"Guyana","2020-03-09","0.14","0.14"
"India","2020-03-09","9.71","0.29"
"San Marino","2020-03-09","7.14","0.57"
"Finland","2020-03-09","35.86","0.14"
"United Kingdom","2020-03-09","271.57","6.57"
"Indonesia","2020-03-09","18.50","0.57"
"Lebanon","2020-03-09","11.00","0.43"
"Belgium","2020-03-09","149.43","1.14"
"Denmark","2020-03-09","114.86","0.29"
"Norway","2020-03-09","168.71","0.14"
"Iran","2020-03-09","1059.57","75.71"
"Morocco","2020-03-09","3.71","0.14"
"Ukraine","2020-03-09","0.29","0.14"
"Luxembourg","2020-03-09","5.29","0.14"
"European Union","2020-03-09","5401.71","232.71"
"United States","2020-03-09","495.00","7.14"
"South Korea","2020-03-09","146.86","3.57"
"World","2020-03-09","8364.29","352.57"
"Iraq","2020-03-09","9.14","0.71"
"Canada","2020-03-09","17.86","0.14"
"Oceania","2020-03-09","26.43","0.43"
"Low income","2020-03-09","4.00","0.14"
"Switzerland","2020-03-09","286.86","2.57"
"Ireland","2020-03-09","10.29","0.14"
"Peru","2020-03-09","5.43","0.29"
"Cayman Islands","2020-03-09","0.14","0.14"
"Australia","2020-03-09","25.57","0.43"
"Upper middle income","2020-03-09","180.14","17.43"
"Poland","2020-03-09","13.86","0.43"
"China","2020-03-09","27.00","14.71"
"Albania","2020-03-09","4.71","0.14"
"Asia","2020-03-09","1524.43","99.71"
"Panama","2020-03-09","3.86","0.14"
"Africa","2020-03-09","34.71","0.43"
"Europe","2020-03-09","6178.43","242.86"
"Philippines","2020-03-09","15.00","1.43"
"Japan","2020-03-09","46.43","2.29"
"Italy","2020-03-09","2182.00","172.57"
"Sudan","2020-03-09","0.14","0.14"
"Slovenia","2020-03-09","28.57","0.14"
"Belgium","2020-03-16","444.43","20.00"
"France","2020-03-16","1404.57","67.29"
"Sweden","2020-03-16","125.00","5.00"
"Guatemala","2020-03-16","1.57","0.14"
"Morocco","2020-03-16","10.29","0.29"
"South Korea","2020-03-16","105.00","4.14"
"Turkey","2020-03-16","134.43","3.00"
"Germany","2020-03-16","3017.29","59.00"
"Greece","2020-03-16","43.14","1.43"
"Azerbaijan","2020-03-16","6.00","0.14"
"Serbia","2020-03-16","17.86","0.14"
"Puerto Rico","2020-03-16","6.29","0.29"
"Lebanon","2020-03-16","20.71","0.14"
"Bahrain","2020-03-16","14.57","0.14"
"Luxembourg","2020-03-16","87.00","0.71"
"Portugal","2020-03-16","146.86","1.43"
"Bosnia and Herzegovina","2020-03-16","16.00","0.14"
"Poland","2020-03-16","61.57","0.29"
"Brazil","2020-03-16","117.14","1.57"
"Kosovo","2020-03-16","4.14","0.14"
"Philippines","2020-03-16","28.00","2.00"
"Austria","2020-03-16","77.71","2.00"
"Bulgaria","2020-03-16","17.43","0.14"
"Africa","2020-03-16","147.29","2.86"
"Peru","2020-03-16","38.71","3.29"
"Burkina Faso","2020-03-16","9.71","0.86"
"Canada","2020-03-16","113.57","1.43"
"Bangladesh","2020-03-16","2.43","0.29"
"Switzerland","2020-03-16","905.29","12.71"
"Paraguay","2020-03-16","1.57","0.14"
"Australia","2020-03-16","118.86","0.29"
"Malaysia","2020-03-16","135.00","1.43"
"Japan","2020-03-16","38.00","2.57"
"China","2020-03-16","64.29","9.00"
"Jamaica","2020-03-16","1.14","0.14"
"Upper middle income","2020-03-16","1075.00","25.29"
"Italy","2020-03-16","4631.57","483.43"
"Costa Rica","2020-03-16","12.43","0.29"
"Pakistan","2020-03-16","84.29","0.43"
"Israel","2020-03-16","120.57","0.14"
"Asia","2020-03-16","2252.57","169.86"
"Singapore","2020-03-16","31.43","0.29"
"Albania","2020-03-16","5.29","0.14"
"Croatia","2020-03-16","24.00","0.14"
"Cuba","2020-03-16","1.71","0.14"
"Curacao","2020-03-16","0.29","0.14"
"Ireland","2020-03-16","84.71","0.43"
"Oceania","2020-03-16","132.43","0.29"
"Iraq","2020-03-16","15.00","1.57"
"United States","2020-03-16","3926.57","43.57"
"Iran","2020-03-16","1093.00","137.29"
"Norway","2020-03-16","198.57","0.86"
"Denmark","2020-03-16","71.29","2.71"
"Indonesia","2020-03-16","56.71","6.29"
"Mauritius","2020-03-16","2.00","0.14"
"World","2020-03-16","24410.29","1199.86"
"United Kingdom","2020-03-16","779.29","61.29"
"San Marino","2020-03-16","14.00","2.14"
"Dominican Republic","2020-03-16","9.57","0.29"
"Ecuador","2020-03-16","69.00","1.00"
"India","2020-03-16","36.14","0.71"
"Iceland","2020-03-16","57.71","0.14"
"Egypt","2020-03-16","25.71","1.14"
"Mexico","2020-03-16","95.57","0.57"
"North America","2020-03-16","4204.43","47.00"
"Low income","2020-03-16","24.86","0.86"
"Hungary","2020-03-16","14.29","0.57"
"South America","2020-03-16","396.86","7.57"
"United Arab Emirates","2020-03-16","7.29","0.29"
"Spain","2020-03-16","4184.00","230.57"
"Lower middle income","2020-03-16","1453.57","149.29"
"High income","2020-03-16","21833.71","1024.43"
"Moldova","2020-03-16","10.29","0.14"
"Europe","2020-03-16","17276.43","972.29"
"Andorra","2020-03-16","18.71","0.14"
"European Union","2020-03-16","15154.71","894.00"
"Ukraine","2020-03-16","6.29","0.29"
"Finland","2020-03-16","65.29","0.86"
"Argentina","2020-03-16","57.86","1.57"
"Tunisia","2020-03-16","7.57","0.43"
"Netherlands","2020-03-16","377.71","18.00"
"Africa","2020-03-23","464.71","16.00"
"Togo","2020-03-23","1.86","0.14"
"Iceland","2020-03-23","64.29","0.14"
"Cuba","2020-03-23","14.71","0.29"
"Burkina Faso","2020-03-23","21.00","1.29"
"North Macedonia","2020-03-23","20.71","0.57"
"Ukraine","2020-03-23","53.00","0.86"
"Malaysia","2020-03-23","162.43","2.43"
"Ecuador","2020-03-23","188.14","5.86"
"Upper middle income","2020-03-23","3084.14","69.71"
"Ireland","2020-03-23","205.43","7.00"
"France","2020-03-23","3264.14","249.86"
"Kazakhstan","2020-03-23","32.43","0.14"
"India","2020-03-23","88.43","2.57"
"Europe","2020-03-23","30780.71","2476.86"
"Argentina","2020-03-23","106.57","7.14"
"Afghanistan","2020-03-23","11.43","0.57"
"Cyprus","2020-03-23","13.57","0.71"
"Panama","2020-03-23","92.71","1.86"
"Dominican Republic","2020-03-23","72.71","2.57"
"Martinique","2020-03-23","8.71","0.14"
"Slovenia","2020-03-23","46.71","1.57"
"Algeria","2020-03-23","45.00","4.29"
"Austria","2020-03-23","544.86","7.29"
"San Marino","2020-03-23","7.57","0.29"
"Zimbabwe","2020-03-23","0.71","0.14"
"Cameroon","2020-03-23","9.14","0.86"
"Oceania","2020-03-23","458.43","1.29"
"Puerto Rico","2020-03-23","36.71","1.57"
"Bahrain","2020-03-23","22.29","0.43"
"Saudi Arabia","2020-03-23","112.57","1.14"
"South Africa","2020-03-23","135.29","0.14"
"Romania","2020-03-23","155.00","5.29"
"Low income","2020-03-23","70.86","2.29"
"Andorra","2020-03-23","29.71","0.71"
"Iraq","2020-03-23","44.86","3.14"
"Brunei","2020-03-23","5.29","0.14"
"United Kingdom","2020-03-23","2292.14","286.43"
"Tunisia","2020-03-23","29.00","0.71"
"Mauritius","2020-03-23","12.57","0.14"
"Thailand","2020-03-23","112.71","0.86"
"Lower middle income","2020-03-23","3229.43","173.00"
"Finland","2020-03-23","94.29","2.71"
"Sweden","2020-03-23","256.43","23.29"
"Italy","2020-03-23","5556.29","742.57"
"Lebanon","2020-03-23","27.14","0.86"
"Montenegro","2020-03-23","9.71","0.14"
"Moldova","2020-03-23","21.57","0.14"
"United States","2020-03-23","13556.29","247.43"
"China","2020-03-23","120.43","5.57"
"Denmark","2020-03-23","125.00","6.29"
"Luxembourg","2020-03-23","147.71","1.14"
"Philippines","2020-03-23","109.71","6.14"
"Indonesia","2020-03-23","110.14","9.43"
"Czechia","2020-03-23","232.00","2.43"
"New Zealand","2020-03-23","58.57","0.14"
"Belgium","2020-03-23","1079.71","86.14"
"Portugal","2020-03-23","467.00","13.86"
"Norway","2020-03-23","253.57","1.86"
"Guam","2020-03-23","5.71","0.14"
"Iran","2020-03-23","2381.57","136.43"
"Sri Lanka","2020-03-23","4.71","0.14"
"Mali","2020-03-23","2.43","0.14"
"Jersey","2020-03-23","4.29","0.29"
"Guadeloupe","2020-03-23","6.43","0.29"
"Morocco","2020-03-23","47.57","3.29"
"High income","2020-03-23","46143.43","2739.00"
"South Korea","2020-03-23","98.00","6.86"
"Kenya","2020-03-23","4.43","0.57"
"Bulgaria","2020-03-23","24.00","0.57"
"Turkey","2020-03-23","922.14","12.43"
"Serbia","2020-03-23","69.71","1.29"
"Spain","2020-03-23","8342.86","724.29"
"Bangladesh","2020-03-23","3.43","0.43"
"Pakistan","2020-03-23","125.71","1.43"
"European Union","2020-03-23","26631.86","2149.14"
"Netherlands","2020-03-23","867.14","70.71"
"Syria","2020-03-23","1.29","0.14"
"Germany","2020-03-23","4736.71","196.29"
"Trinidad and Tobago","2020-03-23","9.29","0.29"
"Uzbekistan","2020-03-23","14.71","0.29"
"Nigeria","2020-03-23","10.14","0.43"
"Australia","2020-03-23","389.71","1.00"
"Israel","2020-03-23","409.71","1.71"
"Colombia","2020-03-23","75.29","0.86"
"Chile","2020-03-23","196.00","0.86"
"Asia","2020-03-23","5279.57","195.71"
"Honduras","2020-03-23","6.14","0.14"
"Brazil","2020-03-23","359.00","11.57"
"Estonia","2020-03-23","43.86","0.14"
"South America","2020-03-23","1025.14","33.29"
"Peru","2020-03-23","45.29","6.43"
"Hungary","2020-03-23","39.57","1.29"
"Venezuela","2020-03-23","10.43","0.29"
"Paraguay","2020-03-23","5.43","0.29"
"Albania","2020-03-23","16.57","0.86"
"Jordan","2020-03-23","21.00","0.14"
"Armenia","2020-03-23","33.43","0.14"
"Japan","2020-03-23","92.43","1.71"
"Palestine","2020-03-23","7.00","0.14"
"Canada","2020-03-23","529.14","3.43"
"Greece","2020-03-23","75.86","2.71"
"North America","2020-03-23","14564.86","261.57"
"Poland","2020-03-23","157.71","1.86"
"Lithuania","2020-03-23","33.29","0.57"
"Russia","2020-03-23","175.43","1.14"
"Bosnia and Herzegovina","2020-03-23","27.57","0.71"
"World","2020-03-23","52573.71","2984.71"
"Mexico","2020-03-23","173.43","3.43"
"Egypt","2020-03-23","40.29","3.71"
"Switzerland","2020-03-23","1065.71","32.29"
"Azerbaijan","2020-03-23","13.43","0.29"
"Croatia","2020-03-23","64.43","0.57"
"Bahamas","2020-03-30","2.14","0.43"
"Japan","2020-03-30","225.43","2.57"
"Afghanistan","2020-03-30","26.43","0.43"
"Kenya","2020-03-30","12.57","0.43"
"Bangladesh","2020-03-30","5.71","0.43"
"Saudi Arabia","2020-03-30","153.00","3.00"
"Jamaica","2020-03-30","3.29","0.29"
"Myanmar","2020-03-30","1.86","0.14"
"China","2020-03-30","84.14","4.57"
"Syria","2020-03-30","1.00","0.14"
"Colombia","2020-03-30","105.67","2.71"
"Sri Lanka","2020-03-30","7.29","0.57"
"Russia","2020-03-30","456.71","5.00"
"Liechtenstein","2020-03-30","2.00","0.14"
"Upper middle income","2020-03-30","5755.14","209.00"
"Slovenia","2020-03-30","37.86","2.57"
"Austria","2020-03-30","536.14","14.86"
"Sudan","2020-03-30","0.71","0.14"
"Italy","2020-03-30","4594.29","762.71"
"World","2020-03-30","71412.29","5515.00"
"Philippines","2020-03-30","288.43","10.86"
"Mali","2020-03-30","3.14","0.29"
"Brazil","2020-03-30","805.57","38.14"
"Congo","2020-03-30","4.29","0.57"
"Pakistan","2020-03-30","193.43","4.57"
"Cote d'Ivoire","2020-03-30","22.86","0.57"
"Qatar","2020-03-30","105.00","0.43"
"Israel","2020-03-30","608.43","5.14"
"European Union","2020-03-30","27376.71","3215.43"
"Asia","2020-03-30","7991.57","243.14"
"Isle of Man","2020-03-30","12.57","0.14"
"Ukraine","2020-03-30","119.00","3.29"
"Albania","2020-03-30","16.86","1.29"
"Singapore","2020-03-30","55.29","0.43"
"Venezuela","2020-03-30","4.43","0.14"
"Kuwait","2020-03-30","43.00","0.14"
"Bosnia and Herzegovina","2020-03-30","43.00","2.14"
"Kyrgyzstan","2020-03-30","20.86","0.14"
"Oman","2020-03-30","17.86","0.29"
"Croatia","2020-03-30","67.00","1.00"
"Cuba","2020-03-30","24.14","0.43"
"Libya","2020-03-30","2.00","0.14"
"Ireland","2020-03-30","307.43","17.29"
"Poland","2020-03-30","284.14","8.71"
"Tanzania","2020-03-30","0.86","0.14"
"Cyprus","2020-03-30","35.29","0.57"
"Martinique","2020-03-30","7.43","0.29"
"Bolivia","2020-03-30","7.00","1.43"
"Oceania","2020-03-30","326.14","3.43"
"Romania","2020-03-30","308.71","15.57"
"Iraq","2020-03-30","47.29","2.00"
"Georgia","2020-03-30","10.29","0.14"
"Slovakia","2020-03-30","24.43","0.14"
"Thailand","2020-03-30","111.57","2.29"
"Luxembourg","2020-03-30","95.29","2.14"
"South Africa","2020-03-30","56.86","1.14"
"United States","2020-03-30","25164.43","948.86"
"Mauritania","2020-03-30","0.14","21.29"
"Latvia","2020-03-30","26.57","0.29"
"Czechia","2020-03-30","260.14","7.00"
"Iran","2020-03-30","2490.57","116.00"
"Portugal","2020-03-30","711.71","27.86"
"Zambia","2020-03-30","1.57","0.43"
"Norway","2020-03-30","175.14","4.29"
"Guyana","2020-03-30","2.57","0.43"
"Belgium","2020-03-30","1376.29","193.86"
"Northern Mariana Islands","2020-03-30","1.14","0.14"
"Indonesia","2020-03-30","141.14","12.00"
"Gabon","2020-03-30","2.00","0.43"
"Denmark","2020-03-30","268.00","13.71"
"Mauritius","2020-03-30","13.43","0.71"
"Mayotte","2020-03-30","13.86","0.29"
"Finland","2020-03-30","130.00","6.57"
"United Kingdom","2020-03-30","4116.86","803.14"
"Lebanon","2020-03-30","12.71","1.14"
"Sint Maarten (Dutch part)","2020-03-30","2.86","0.29"
"San Marino","2020-03-30","4.57","1.43"
"Puerto Rico","2020-03-30","51.29","2.43"
"Algeria","2020-03-30","113.86","14.29"
"Argentina","2020-03-30","113.00","8.71"
"Dominican Republic","2020-03-30","129.57","6.86"
"North Macedonia","2020-03-30","42.29","2.00"
"Liberia","2020-03-30","1.00","0.14"
"India","2020-03-30","342.14","7.43"
"Montenegro","2020-03-30","16.43","0.14"
"Ecuador","2020-03-30","234.57","17.71"
"Serbia","2020-03-30","137.86","4.86"
"Iceland","2020-03-30","66.86","0.29"
"Togo","2020-03-30","1.86","0.29"
"Azerbaijan","2020-03-30","42.29","0.29"
"Egypt","2020-03-30","70.57","5.00"
"France","2020-03-30","4373.14","747.86"
"Mexico","2020-03-30","304.86","20.86"
"North America","2020-03-30","27027.57","1010.29"
"Belarus","2020-03-30","49.43","0.57"
"Greece","2020-03-30","87.43","5.14"
"Armenia","2020-03-30","56.86","0.86"
"Hungary","2020-03-30","46.43","3.00"
"Netherlands","2020-03-30","987.43","143.43"
"El Salvador","2020-03-30","5.29","0.43"
"South America","2020-03-30","1743.14","92.57"
"Estonia","2020-03-30","61.29","1.71"
"Germany","2020-03-30","5229.57","322.43"
"Honduras","2020-03-30","28.14","2.00"
"Nigeria","2020-03-30","16.71","0.57"
"Trinidad and Tobago","2020-03-30","3.71","0.57"
"United Arab Emirates","2020-03-30","148.14","1.14"
"Spain","2020-03-30","6989.43","857.29"
"Turkey","2020-03-30","2361.71","56.14"
"Niger","2020-03-30","17.71","8.14"
"South Korea","2020-03-30","93.43","4.43"
"High income","2020-03-30","61277.57","5082.14"
"Guernsey","2020-03-30","11.57","0.57"
"Morocco","2020-03-30","74.71","5.71"
"Guadeloupe","2020-03-30","4.86","0.71"
"Sweden","2020-03-30","452.71","57.71"
"Low income","2020-03-30","126.00","10.29"
"Moldova","2020-03-30","74.43","1.43"
"Guam","2020-03-30","5.43","0.43"
"Saint Martin (French part)","2020-03-30","1.71","0.29"
"Tunisia","2020-03-30","39.29","1.57"
"Andorra","2020-03-30","17.86","1.57"
"Cameroon","2020-03-30","66.43","1.00"
"Lower middle income","2020-03-30","4168.29","211.57"
"Kazakhstan","2020-03-30","35.29","0.57"
"Burkina Faso","2020-03-30","20.29","0.29"
"Europe","2020-03-30","33655.86","4102.00"
"Switzerland","2020-03-30","882.14","54.14"
"Lithuania","2020-03-30","50.57","0.57"
"Canada","2020-03-30","1120.57","21.71"
"Jordan","2020-03-30","11.00","0.57"
"Uruguay","2020-03-30","16.00","0.57"
"Australia","2020-03-30","260.86","2.86"
"Peru","2020-03-30","137.14","19.71"
"Jersey","2020-03-30","14.57","0.14"
"Malaysia","2020-03-30","166.14","4.29"
"Chile","2020-03-30","321.71","3.00"
"Panama","2020-03-30","126.71","3.86"
"Africa","2020-03-30","667.86","63.57"
"Bulgaria","2020-03-30","24.57","1.43"
"Lower middle income","2020-04-06","4526.43","261.00"
"Saudi Arabia","2020-04-06","237.57","3.29"
"Azerbaijan","2020-04-06","78.29","0.71"
"France","2020-04-06","3575.71","895.43"
"Oman","2020-04-06","38.43","0.14"
"Slovenia","2020-04-06","29.71","3.86"
"Kazakhstan","2020-04-06","52.29","0.71"
"Kyrgyzstan","2020-04-06","43.43","0.57"
"Japan","2020-04-06","496.71","4.00"
"Mexico","2020-04-06","470.14","54.57"
"Bosnia and Herzegovina","2020-04-06","45.14","2.29"
"Egypt","2020-04-06","124.14","10.71"
"North America","2020-04-06","33667.86","2118.29"
"Myanmar","2020-04-06","2.43","0.29"
"Singapore","2020-04-06","158.57","0.43"
"Finland","2020-04-06","139.86","8.57"
"Belarus","2020-04-06","255.14","2.71"
"Malaysia","2020-04-06","149.57","2.29"
"Greece","2020-04-06","58.29","3.57"
"Upper middle income","2020-04-06","10696.14","398.00"
"Venezuela","2020-04-06","3.86","0.86"
"Netherlands","2020-04-06","1088.71","139.86"
"Armenia","2020-04-06","27.29","0.86"
"Bahamas","2020-04-06","2.57","0.71"
"Albania","2020-04-06","16.00","0.86"
"Germany","2020-04-06","3973.43","269.71"
"Hungary","2020-04-06","96.71","9.29"
"Russia","2020-04-06","1577.00","12.43"
"Malta","2020-04-06","21.57","0.43"
"Peru","2020-04-06","614.57","63.00"
"Switzerland","2020-04-06","523.14","51.14"
"El Salvador","2020-04-06","8.86","0.43"
"World","2020-04-06","79018.29","7276.00"
"Isle of Man","2020-04-06","12.29","0.71"
"Uzbekistan","2020-04-06","71.14","0.14"
"Ukraine","2020-04-06","218.00","7.29"
"Somalia","2020-04-06","2.00","0.14"
"Estonia","2020-04-06","30.57","1.57"
"Guatemala","2020-04-06","12.43","0.29"
"Honduras","2020-04-06","18.29","1.29"
"Canada","2020-04-06","1373.43","54.43"
"European Union","2020-04-06","22733.57","3182.57"
"Nigeria","2020-04-06","14.86","0.71"
"Paraguay","2020-04-06","5.29","0.43"
"Israel","2020-04-06","398.00","7.71"
"South America","2020-04-06","3416.43","211.57"
"Asia","2020-04-06","10375.00","329.71"
"Jordan","2020-04-06","8.29","0.29"
"Cote d'Ivoire","2020-04-06","41.43","0.14"
"Trinidad and Tobago","2020-04-06","1.29","0.29"
"United Arab Emirates","2020-04-06","318.71","1.43"
"Chile","2020-04-06","395.14","6.57"
"United States Virgin Islands","2020-04-06","1.57","0.14"
"Bahrain","2020-04-06","50.29","0.29"
"Spain","2020-04-06","4726.14","726.29"
"Sri Lanka","2020-04-06","4.71","1.33"
"Pakistan","2020-04-06","308.29","5.86"
"Costa Rica","2020-04-06","20.29","0.14"
"Turkey","2020-04-06","4033.29","85.71"
"Palestine","2020-04-06","7.29","0.14"
"Tunisia","2020-04-06","18.86","1.29"
"Niger","2020-04-06","55.00","0.14"
"Europe","2020-04-06","30675.43","4562.43"
"Ethiopia","2020-04-06","4.43","3.29"
"South Korea","2020-04-06","39.29","4.43"
"Uruguay","2020-04-06","15.43","0.43"
"Kosovo","2020-04-06","20.43","0.86"
"Sweden","2020-04-06","516.57","93.14"
"Guernsey","2020-04-06","11.71","0.71"
"High income","2020-04-06","63565.71","6608.43"
"Guyana","2020-04-06","2.00","0.29"
"Panama","2020-04-06","185.86","4.71"
"Portugal","2020-04-06","643.57","33.57"
"Belize","2020-04-06","0.86","0.29"
"Belgium","2020-04-06","1601.29","277.71"
"Brazil","2020-04-06","1511.71","99.57"
"Zambia","2020-04-06","0.14","0.14"
"Norway","2020-04-06","108.29","6.86"
"Colombia","2020-04-06","172.29","7.86"
"Iran","2020-04-06","2040.86","129.29"
"Morocco","2020-04-06","83.57","6.43"
"Australia","2020-04-06","93.43","3.57"
"Northern Mariana Islands","2020-04-06","0.43","0.14"
"Qatar","2020-04-06","200.43","0.43"
"Czechia","2020-04-06","205.43","10.00"
"Sint Maarten (Dutch part)","2020-04-06","3.86","1.00"
"Indonesia","2020-04-06","281.14","25.00"
"Mali","2020-04-06","9.43","0.86"
"Latvia","2020-04-06","16.86","0.71"
"Bulgaria","2020-04-06","22.57","1.57"
"Antigua and Barbuda","2020-04-06","2.00","0.29"
"Guadeloupe","2020-04-06","1.86","0.14"
"Barbados","2020-04-06","2.29","0.57"
"United States","2020-04-06","31310.29","1984.14"
"South Africa","2020-04-06","63.29","2.71"
"Thailand","2020-04-06","54.57","2.14"
"Luxembourg","2020-04-06","52.29","3.57"
"China","2020-04-06","78.86","1.57"
"Mauritius","2020-04-06","17.57","0.29"
"Denmark","2020-04-06","274.14","14.14"
"Philippines","2020-04-06","190.57","14.71"
"New Zealand","2020-04-06","25.29","0.43"
"United Kingdom","2020-04-06","4661.43","1282.00"
"Turks and Caicos Islands","2020-04-06","0.43","0.14"
"Slovakia","2020-04-06","36.71","0.14"
"Iraq","2020-04-06","62.86","2.29"
"Malawi","2020-04-06","1.29","0.14"
"Lebanon","2020-04-06","13.14","0.29"
"Romania","2020-04-06","339.57","20.71"
"Moldova","2020-04-06","115.43","2.57"
"Georgia","2020-04-06","11.71","0.29"
"Zimbabwe","2020-04-06","1.00","0.14"
"Oceania","2020-04-06","127.14","4.29"
"San Marino","2020-04-06","13.86","0.43"
"Italy","2020-04-06","3948.43","586.57"
"Bermuda","2020-04-06","1.86","0.57"
"Argentina","2020-04-06","131.00","10.57"
"Lithuania","2020-04-06","37.71","0.86"
"Martinique","2020-04-06","1.43","0.43"
"Jersey","2020-04-06","7.29","0.14"
"Algeria","2020-04-06","82.00","20.86"
"Liberia","2020-04-06","6.57","0.71"
"Djibouti","2020-04-06","19.43","0.29"
"Guam","2020-04-06","5.71","0.14"
"Cyprus","2020-04-06","27.14","0.14"
"Serbia","2020-04-06","250.86","4.29"
"Dominican Republic","2020-04-06","161.71","8.29"
"North Macedonia","2020-04-06","39.00","2.29"
"Bolivia","2020-04-06","19.43","1.43"
"Low income","2020-04-06","188.86","7.14"
"Africa","2020-04-06","756.43","49.71"
"Tanzania","2020-04-06","1.71","0.29"
"Austria","2020-04-06","277.43","21.57"
"India","2020-04-06","711.71","28.00"
"Jamaica","2020-04-06","1.71","0.14"
"Poland","2020-04-06","389.71","18.43"
"Andorra","2020-04-06","22.29","1.57"
"Puerto Rico","2020-04-06","23.43","3.57"
"Ireland","2020-04-06","545.14","39.86"
"Afghanistan","2020-04-06","36.57","1.57"
