"continent","location","age_group","death_count"
"Oceania","Solomon Islands","Under 30",153
"North America","Antigua and Barbuda","30-50",146
"Asia","Timor","Under 30",138
"Africa","South Sudan","Under 30",138
"North America","United States Virgin Islands","30-50",130
"Africa","Sierra Leone","Under 30",126
"Europe","San Marino","Above 70",125
"Asia","Tajikistan","Under 30",125
"North America","Saint Vincent and the Grenadines","30-50",124
"Europe","Isle of Man","Above 70",116
"Europe","Gibraltar","Above 70",113
"Africa","Central African Republic","Under 30",113
"Africa","Eritrea","Under 30",103
"North America","Sint Maarten (Dutch part)","Above 70",92
"Europe","Liechtenstein","Above 70",87
"Africa","Sao Tome and Principe","Under 30",80
"North America","Dominica","Above 70",74
"Europe","Guernsey","Above 70",67
"Europe","Monaco","Above 70",67
"Oceania","Micronesia (country)","Under 30",64
"North America","British Virgin Islands","Above 70",64
"North America","Saint Martin (French part)","Above 70",46
"North America","Saint Kitts and Nevis","Above 70",46
"North America","Bonaire Sint Eustatius and Saba","Above 70",41
"Oceania","Northern Mariana Islands","Above 70",41
"North America","Turks and Caicos Islands","Above 70",38
"North America","Cayman Islands","Above 70",37
"Oceania","American Samoa","Above 70",34
"Oceania","Samoa","Under 30",31
"Europe","Faeroe Islands","Above 70",28
"Oceania","Kiribati","Under 30",24
"Asia","Bhutan","Under 30",21
"North America","Greenland","Above 70",21
"Oceania","Marshall Islands","Above 70",17
"Africa","Burundi","Under 30",15
"Oceania","Vanuatu","Under 30",14
"Oceania","Tonga","Under 30",12
"North America","Anguilla","Above 70",12
"Oceania","Palau","Above 70",9
"North America","Montserrat","Above 70",8
"Oceania","Wallis and Futuna","Above 70",7
"North America","Saint Barthelemy","Above 70",5
"North America","Saint Pierre and Miquelon","Above 70",2
"Oceania","Cook Islands","Above 70",2
"Oceania","Nauru","Above 70",1
