"continent","location","max","population","cumulative_vaccination_rate_percentage"
"Europe","Malta","478773","533293","89.78"
"Europe","Moldova","1108391","3272993","33.86"
"Europe","Monaco","28875","36491","79.13"
"Europe","Montenegro","292783","627082","46.69"
"Europe","Netherlands","12775557","17564020","72.74"
"Europe","North Macedonia","854479","2093606","40.81"
"Europe","Northern Ireland","1430638","1896000","75.46"
"Europe","Norway","4346995","5434324","79.99"
"Europe","Poland","22875338","39857144","57.39"
"Europe","Portugal","9784298","10270857","95.26"
"Europe","Romania","8187668","19659270","41.65"
"Europe","Russia","88798804","144713312","61.36"
"Europe","San Marino","26357","33690","78.23"
"Europe","Scotland","4549556","5466000","83.23"
"Europe","Serbia","3354075","6871547","48.81"
"Europe","Slovakia","2595901","5643455","46.00"
"Europe","Slovenia","1265802","2119843","59.71"
"Europe","Spain","41349325","47558632","86.94"
"Europe","Sweden","7775726","10549349","73.71"
"Europe","Switzerland","6096788","8740471","69.75"
"Europe","Ukraine","15774300","39701744","39.73"
"Europe","United Kingdom","53813491","67508936","79.71"
"Europe","Wales","2592226","3170000","81.77"
"North America","Anguilla","10854","15877","68.36"
"North America","Antigua and Barbuda","64290","93772","68.56"
"North America","Aruba","90426","106459","84.94"
"North America","Bahamas","174147","409989","42.48"
"North America","Barbados","163845","281646","58.17"
"North America","Belize","258473","405285","63.78"
"North America","Bermuda","48554","64207","75.62"
"North America","Bonaire Sint Eustatius and Saba","19109","27052","70.64"
"North America","British Virgin Islands","19466","31332","62.13"
"North America","Canada","34763194","38454328","90.40"
"North America","Cayman Islands","62085","68722","90.34"
"North America","Costa Rica","4633174","5180836","89.43"
"North America","Cuba","10736653","11212198","95.76"
"North America","Curacao","108601","191173","56.81"
"North America","Dominica","32995","72758","45.35"
"North America","Dominican Republic","7318829","11228821","65.18"
"North America","El Salvador","4652597","6336393","73.43"
"North America","Greenland","41227","56494","72.98"
"North America","Grenada","44241","125459","35.26"
"North America","Guatemala","8930737","17843914","50.05"
"North America","Haiti","465761","11585003","4.02"
"North America","Honduras","6551299","10432858","62.79"
"North America","Jamaica","857227","2827382","30.32"
"North America","Mexico","97179493","127504120","76.22"
"North America","Montserrat","2104","4413","47.68"
"North America","Nicaragua","6254204","6948395","90.01"
"North America","Panama","3531965","4408582","80.12"
"North America","Saint Kitts and Nevis","33794","47681","70.88"
"North America","Saint Lucia","60140","179872","33.43"
"North America","Saint Vincent and the Grenadines","37532","103959","36.10"
"North America","Sint Maarten (Dutch part)","29788","44192","67.41"
"North America","Trinidad and Tobago","753588","1531043","49.22"
"North America","Turks and Caicos Islands","32815","45726","71.76"
"North America","United States","270129677","338289856","79.85"
"Oceania","Australia","22236698","26177410","84.95"
"Oceania","Cook Islands","15112","17032","88.73"
"Oceania","Fiji","712025","929769","76.58"
"Oceania","French Polynesia","190908","306292","62.33"
"Oceania","Kiribati","100900","131237","76.88"
"Oceania","Nauru","13106","12691","103.27"
"Oceania","New Caledonia","192375","289959","66.35"
"Oceania","New Zealand","4301605","5185289","82.96"
"Oceania","Niue","1638","1952","83.91"
"Oceania","Papua New Guinea","382020","10142625","3.77"
"Oceania","Pitcairn","47","47","100.00"
"Oceania","Samoa","191403","222390","86.07"
"Oceania","Solomon Islands","343821","724272","47.47"
"Oceania","Tokelau","2203","1893","116.38"
"Oceania","Tonga","87342","106867","81.73"
"Oceania","Tuvalu","9763","11335","86.13"
"Oceania","Vanuatu","176624","326744","54.06"
"Oceania","Wallis and Futuna","7150","11596","61.66"
"South America","Argentina","41490255","45510324","91.17"
"South America","Bolivia","7361008","12224114","60.22"
"South America","Brazil","189643431","215313504","88.08"
"South America","Chile","18088517","19603736","92.27"
"South America","Colombia","43012174","51874028","82.92"
"South America","Ecuador","15333873","18001002","85.18"
"South America","Falkland Islands","2632","3801","69.24"
"South America","Guyana","495285","808727","61.24"
"South America","Paraguay","3989519","6780745","58.84"
"South America","Peru","30480836","34049588","89.52"
"South America","Suriname","267820","618046","43.33"
"South America","Uruguay","3009652","3422796","87.93"
"South America","Venezuela","22157232","28301700","78.29"
